water tempreture,soaking time,moisture 1,moisture 2,moisture 3,moisture 4,moisture 5,average moisture
70,0,3.3,3.3,3.4,3.6,3.5,3.42
70,5,4.2,4.4,4.5,4.4,4.4,4.38
70,6,5.2,5.2,5.3,5.3,5.3,5.26
70,7,4.5,5.0,4.7,4.6,4.5,4.66
70,8,5.1,5.1,4.9,5.2,5.1,5.08
70,9,5.1,5.5,5.6,5.6,5.6,5.48
70,10,5.8,5.8,5.7,5.8,5.7,5.76
70,11,5.6,5.2,5.2,5.5,5.7,5.44
70,12,6.0,5.9,6.2,5.7,6.1,5.98
70,13,6.1,6.2,6.2,6.2,6.1,6.16
70,14,6.3,5.9,6.2,6.3,6.3,6.2
70,15,6.3,6.3,6.5,6.5,6.6,6.44
70,16,7.0,7.1,7.0,7.2,6.9,7.04
70,17,6.1,6.2,6.6,6.4,6.3,6.32
70,18,6.9,7.0,6.5,6.7,6.6,6.74
70,19,6.9,6.5,6.7,6.8,6.7,6.72
70,20,6.6,6.9,6.7,7.0,6.9,6.82
70,21,7.4,7.7,7.6,7.5,7.6,7.56
70,22,7.8,7.9,8.0,8.1,7.8,7.92
70,23,7.8,7.7,8.0,7.6,7.7,7.76
70,24,8.0,7.3,7.8,7.6,7.8,7.7
70,25,7.5,8.1,8.2,7.9,8.0,7.94
70,26,8.4,8.5,8.2,8.4,8.3,8.36
70,27,8.3,8.2,8.3,8.4,8.1,8.26
70,28,9.0,8.9,9.0,8.8,9.2,8.98
70,29,8.6,8.4,9.0,8.3,8.5,8.56
70,30,9.0,8.8,8.9,9.1,8.7,8.9
70,31,8.4,7.9,8.3,8.4,8.1,8.22
70,32,8.7,8.7,8.5,8.4,8.6,8.58
70,33,9.1,8.7,8.6,8.6,8.8,8.76
70,34,9.1,9.3,9.0,9.2,9.1,9.14
70,35,8.6,8.7,8.6,8.4,8.5,8.56
70,36,8.6,8.7,8.5,8.5,8.7,8.6
70,37,9.0,9.5,9.0,9.5,9.0,9.2
70,38,8.8,9.4,8.9,9.1,8.8,9.0
70,39,9.0,8.7,8.8,9.1,9.2,8.96
70,40,9.6,10.0,9.9,9.6,10.1,9.84
70,41,9.1,9.2,9.1,9.3,9.9,9.32
70,42,10.0,9.2,9.3,10.0,9.3,9.56
70,43,9.8,10.1,9.3,9.7,10.1,9.8
70,44,10.2,10.1,9.6,9.7,9.8,9.88
70,45,9.7,9.8,9.8,9.8,9.9,9.8
